CRTSH ID,Logged At,Not Before,Not After,Common Name,Issuer Name,firewall,associated_ips,http_response,missing_sec_headers,has_robots_txt
24560643,2016-07-14T07:30:08.461,2016-07-14T00:00:00,2018-07-14T23:59:59,*.example.com,"C=US, O=""thawte, Inc."", CN=thawte SSL CA - G2",DNT,DNT,DNT,DNT,DNT
10445539911,2023-09-22T10:18:07.28,2023-09-22T09:18:06,2023-11-06T09:18:05,*.hbh.sh,"C=US, O=Google Trust Services LLC, CN=GTS CA 2A1",DNT,DNT,DNT,DNT,DNT
34083306,2016-09-23T09:27:06.583,2010-09-02T16:36:49,2011-10-01T16:31:00,*.hosted.jivesoftware.com,"emailAddress=pki_admin@sungard.com, O=SunGard Availability Services, CN=SAS Public CA v1",DNT,DNT,DNT,DNT,DNT
34001389,2016-09-23T03:15:34.309,2010-09-02T16:37:43,2011-10-01T16:32:00,*.uat3.hosted.jivesoftware.com,"emailAddress=pki_admin@sungard.com, O=SunGard Availability Services, CN=SAS Public CA v1",DNT,DNT,DNT,DNT,DNT
8177214652,2022-12-11T19:39:01.246,2022-12-11T18:39:01,2023-03-11T18:39:00,bastion.hbh.sh,"C=US, O=Let's Encrypt, CN=R3",Unknown,,999,"Error: HTTPSConnectionPool(host='bastion.hbh.sh', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111ffe0d0>: Failed to resolve 'bastion.hbh.sh' ([Errno 8] nodename nor servname provided, or not known)""))",False
10058370786,2023-08-04T06:13:59.271,2023-08-04T05:13:58,2023-11-02T05:13:57,ctf.hackthissite.org,"C=US, O=Let's Encrypt, CN=R3",Fastly (Fastly CDN) WAF.,"185.199.111.153,185.199.109.153,185.199.110.153,185.199.108.153",200,"Content-Security-Policy,Strict-Transport-Security,X-Frame-Options,Referrer-Policy",False
8361140182,2023-01-05T21:23:41.302,2023-01-05T20:23:41,2023-04-05T20:23:40,dev.hbh.sh,"C=US, O=Let's Encrypt, CN=R3",Unknown,,999,"Error: HTTPSConnectionPool(host='dev.hbh.sh', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x117b01e50>: Failed to resolve 'dev.hbh.sh' ([Errno 8] nodename nor servname provided, or not known)""))",False
8506962125,,2023-01-27T01:21:18,2033-01-24T01:21:18,example.com,Issuer Not Found,Edgecast (Verizon Digital Media) WAF.,93.184.216.34,200,"Content-Security-Policy,Strict-Transport-Security,X-Frame-Options,Referrer-Policy",False
10260680234,2023-08-23T16:05:03.776,2023-08-23T15:05:03,2023-11-21T15:05:02,h5ai.hackthissite.org,"C=US, O=Let's Encrypt, CN=R3",Fastly (Fastly CDN) WAF.,"185.199.108.153,185.199.111.153,185.199.109.153,185.199.110.153",200,"Content-Security-Policy,Strict-Transport-Security,X-Frame-Options,Referrer-Policy",False
9045563675,2023-04-03T06:57:55.364,2023-04-03T06:47:49,2024-04-02T06:47:49,hackthisjogneh42n5o7gbzrewxee3vyu6ex37ukyvdw6jm66npakiyd.onion,"C=GR, O=Hellenic Academic and Research Institutions CA, CN=HARICA DV TLS RSA",Unknown,143.244.220.150,999,"Error: HTTPSConnectionPool(host='hackthisjogneh42n5o7gbzrewxee3vyu6ex37ukyvdw6jm66npakiyd.onion', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111fd8a10>: Failed to resolve 'hackthisjogneh42n5o7gbzrewxee3vyu6ex37ukyvdw6jm66npakiyd.onion' ([Errno 8] nodename nor servname provided, or not known)""))",False
